n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower validite
50 5 1 1 0 ras True True 0.04216 9.904 0.0 175.42 175.42 175.42 1
50 5 1 1 1 ras True True 0.04421 45.353 0.0 197.21 197.21 197.21 1
50 5 1 1 2 ras True True 0.03519 28.918 0.0 197.21 197.21 197.21 1
50 5 1 2 0 ras True False 1.64675 304.23 5.95 180.84 180.84 170.085 1
50 5 1 2 1 ras True False 9.00741 336.615 91.95 428.32 428.32 34.48 1
50 5 1 2 2 ras True False 18.51208 310.137 28.49 201.9 201.9 144.376 1
50 5 1 3 0 ras True True 1.90191 33.454 0.0 175.42 175.42 175.42 1
50 5 1 3 1 irréalisable False False 2.48709 -1 -1 -1 -1 -1 0
50 5 1 3 2 ras True False 17.69346 311.693 88.2 712.16 712.16 84.06 1
50 5 2 1 0 ras True True 0.04154 10.716 0.0 163.37 163.37 163.37 1
50 5 2 1 1 ras True True 0.04499 51.166 0.0 166.33 166.33 166.33 1
50 5 2 1 2 ras True True 0.03645 27.915 0.0 166.33 166.33 166.33 1
50 5 2 2 0 ras True True 1.58425 234.047 0.58 163.37 163.37 162.418 1
50 5 2 2 1 irréalisable False False 8.69617 -1 -1 -1 -1 -1 0
50 5 2 2 2 ras True False 17.92732 310.254 22.97 180.87 180.87 139.317 1
50 5 2 3 0 ras True True 1.86392 32.592 0.0 163.37 163.37 163.37 1
50 5 2 3 1 irréalisable False False 2.53419 -1 -1 -1 -1 -1 0
50 5 2 3 2 ras True False 16.77637 350.481 85.75 590.47 590.47 84.113 1
50 5 3 1 0 ras True True 0.04196 8.014 0.0 160.52 160.52 160.52 1
50 5 3 1 1 ras True True 0.04523 55.029 0.0 162.51 162.51 162.51 1
50 5 3 1 2 ras True True 0.03573 23.772 0.0 162.51 162.51 162.51 1
50 5 3 2 0 ras True True 1.58791 197.979 0.5 160.52 160.52 159.716 1
50 5 3 2 1 ras True False 8.43255 335.608 91.86 513.84 513.84 41.85 1
50 5 3 2 2 ras True False 16.82139 310.24 27.15 191.89 191.89 139.786 1
50 5 3 3 0 ras True True 1.87618 36.112 0.0 160.52 160.52 160.52 1
50 5 3 3 1 irréalisable False False 2.49324 -1 -1 -1 -1 -1 0
50 5 3 3 2 ras True False 17.69853 349.044 80.08 543.47 543.47 108.249 1
50 5 4 1 0 ras True True 0.04183 9.984 0.0 163.71 163.71 163.71 1
50 5 4 1 1 ras True True 0.04739 61.256 0.0 168.43 168.43 168.43 1
50 5 4 1 2 ras True True 0.03615 46.92 0.0 168.43 168.43 168.43 1
50 5 4 2 0 ras True True 1.61316 247.061 0.58 163.71 163.71 162.768 1
50 5 4 2 1 ras True False 8.8664 335.718 89.33 459.74 459.74 49.07 1
50 5 4 2 2 ras True False 18.65504 309.813 21.14 183.33 183.33 144.571 1
50 5 4 3 0 ras True True 1.85971 35.796 0.0 163.71 163.71 163.71 1
50 5 4 3 1 ras True False 2.5296 346.531 71.06 385.25 385.25 111.491 1
50 5 4 3 2 irréalisable False False 17.3302 -1 -1 -1 -1 -1 0
50 5 5 1 0 ras True True 0.05657 13.021 0.0 145.5 145.5 145.5 1
50 5 5 1 1 ras True True 0.04288 48.611 0.0 169.73 169.73 169.73 1
50 5 5 1 2 ras True True 0.03587 44.828 0.01 169.73 169.73 169.71 1
50 5 5 2 0 ras True True 1.60674 135.062 0.63 145.5 145.5 144.585 1
50 5 5 2 1 ras True False 9.9846 335.374 88.69 397.23 397.23 44.93 1
50 5 5 2 2 ras True False 18.38048 309.984 29.08 193.79 193.79 137.428 1
50 5 5 3 0 ras True True 1.5281 28.898 0.0 145.5 145.5 145.5 1
50 5 5 3 1 ras True False 2.5206 306.661 77.44 483.36 483.36 109.04 1
50 5 5 3 2 irréalisable False False 17.66621 -1 -1 -1 -1 -1 0
50 12 1 1 0 ras True True 0.04045 12.845 0.0 91.68 91.68 91.68 1
50 12 1 1 1 ras True True 0.04427 60.932 0.76 123.26 123.26 122.322 1
50 12 1 1 2 ras True True 0.03572 47.775 0.8 123.26 123.26 122.271 1
50 12 1 2 0 ras True True 1.75031 63.303 0.95 91.68 91.68 90.809 1
50 12 1 2 1 ras True False 9.02752 335.489 89.86 396.27 396.27 40.18 1
50 12 1 2 2 ras True False 17.40364 309.734 65.18 252.21 252.21 87.816 1
50 12 1 3 0 ras True True 1.8694 19.1 0.0 91.68 91.68 91.68 1
50 12 1 3 1 ras True False 2.48948 306.449 82.77 483.54 483.54 83.32 1
50 12 1 3 2 ras True False 16.79944 314.248 87.81 578.43 578.43 70.486 1
50 12 2 1 0 ras True True 0.04166 16.633 0.0 94.01 94.01 94.01 1
50 12 2 1 1 ras True True 0.0455 46.595 0.89 107.81 107.81 106.85 1
50 12 2 1 2 ras True True 0.03613 32.157 0.89 107.81 107.81 106.85 1
50 12 2 2 0 ras True True 1.61738 121.826 0.55 94.01 94.01 93.49 1
50 12 2 2 1 irréalisable False False 9.64496 -1 -1 -1 -1 -1 0
50 12 2 2 2 ras True False 17.03959 309.617 42.85 140.41 140.41 80.249 1
50 12 2 3 0 ras True True 1.47307 20.942 0.0 94.01 94.01 94.01 1
50 12 2 3 1 ras True False 2.44134 306.173 80.98 398.05 398.05 75.69 1
50 12 2 3 2 ras True False 16.42667 337.585 88.08 563.79 563.79 67.207 1
50 12 3 1 0 ras True True 0.04132 12.732 0.0 94.54 94.54 94.54 1
