n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower validite
50 12 3 1 1 ras True True 0.04522 55.651 0.73 107.35 107.35 106.57 1
50 12 3 1 2 ras True True 0.03611 37.431 0.0 106.57 106.57 106.57 1
50 12 3 2 0 ras True True 1.58824 113.93 1.01 94.54 94.54 93.585 1
50 12 3 2 1 irréalisable False False 10.08854 -1 -1 -1 -1 -1 0
50 12 3 2 2 ras True False 17.00526 309.765 25.93 110.45 110.45 81.81 1
50 12 3 3 0 ras True True 1.40061 19.324 0.0 94.54 94.54 94.54 1
50 12 3 3 1 ras True True 2.46694 305.727 0.3 106.89 106.89 106.57 1
50 12 3 3 2 irréalisable False False 16.76631 -1 -1 -1 -1 -1 0
50 12 4 1 0 ras True True 0.04078 11.406 0.0 95.63 95.63 95.63 1
50 12 4 1 1 ras True True 0.04477 47.093 0.0 114.11 114.11 114.105 1
50 12 4 1 2 ras True True 0.03534 27.195 0.0 114.11 114.11 114.11 1
50 12 4 2 0 ras True True 1.56737 77.722 0.32 95.63 95.63 95.324 1
50 12 4 2 1 ras True False 8.64765 335.046 93.95 505.62 505.62 30.59 1
50 12 4 2 2 ras True False 18.12323 309.584 21.13 114.11 114.11 90.004 1
50 12 4 3 0 ras True True 1.82842 18.081 0.0 95.63 95.63 95.63 1
50 12 4 3 1 irréalisable False False 2.44064 -1 -1 -1 -1 -1 0
50 12 4 3 2 ras True False 16.47789 346.902 86.73 574.78 574.78 76.262 1
50 12 5 1 0 ras True True 0.04124 7.224 0.0 93.15 93.15 93.15 1
50 12 5 1 1 ras True True 0.04472 116.054 0.81 120.11 120.11 119.143 1
50 12 5 1 2 ras True True 0.03697 42.323 0.82 120.11 120.11 119.126 1
50 12 5 2 0 ras True True 1.56765 115.664 1.01 93.15 93.15 92.213 1
50 12 5 2 1 ras True False 9.87683 335.439 91.82 442.25 442.25 36.17 1
50 12 5 2 2 ras True False 18.10228 310.036 61.55 222.87 222.87 85.692 1
50 12 5 3 0 ras True True 1.6288 24.511 0.0 93.15 93.15 93.15 1
50 12 5 3 1 ras True False 2.53524 306.791 24.41 120.34 120.34 90.971 1
50 12 5 3 2 ras True False 17.52258 328.24 87.1 540.14 540.14 69.691 1
50 16 1 1 0 ras True True 0.04028 12.336 0.0 83.86 83.86 83.86 1
50 16 1 1 1 ras True True 0.04629 181.964 0.85 116.18 116.18 115.19 1
50 16 1 1 2 ras True True 0.03541 263.059 0.85 116.18 116.18 115.19 1
50 16 1 2 0 ras True True 1.64108 63.272 1.08 83.86 83.86 82.958 1
50 16 1 2 1 irréalisable False False 9.29505 -1 -1 -1 -1 -1 0
50 16 1 2 2 ras True False 18.9124 309.874 71.33 263.64 263.64 75.577 1
50 16 1 3 0 ras True True 1.43777 23.368 0.0 83.86 83.86 83.86 1
50 16 1 3 1 ras True False 2.52594 306.329 33.37 139.26 139.26 92.79 1
50 16 1 3 2 ras True False 16.853 310.724 89.69 575.15 575.15 59.32 1
50 16 2 1 0 ras True True 0.04241 12.285 0.0 80.4 80.4 80.4 1
50 16 2 1 1 ras True True 0.04726 68.066 0.91 105.72 105.72 104.757 1
50 16 2 1 2 ras True True 0.03621 33.437 0.9 105.72 105.72 104.769 1
50 16 2 2 0 ras True True 1.58254 74.399 0.94 80.4 80.4 79.644 1
50 16 2 2 1 irréalisable False False 8.6531 -1 -1 -1 -1 -1 0
50 16 2 2 2 ras True False 17.12922 309.981 68.67 234.25 234.25 73.387 1
50 16 2 3 0 ras True True 1.49857 19.9 0.0 80.4 80.4 80.4 1
50 16 2 3 1 ras True False 2.49279 321.196 36.52 126.0 126.0 79.979 1
50 16 2 3 2 ras True False 17.28514 310.7 88.25 592.01 592.01 69.55 1
50 16 3 1 0 ras True True 0.0424 13.217 0.0 81.05 81.05 81.05 1
50 16 3 1 1 ras True True 0.04443 47.513 0.24 112.22 112.22 111.952 1
50 16 3 1 2 ras True True 0.0361 41.749 0.0 112.22 112.22 112.22 1
50 16 3 2 0 ras True True 1.56851 100.249 0.99 81.05 81.05 80.251 1
50 16 3 2 1 irréalisable False False 9.01096 -1 -1 -1 -1 -1 0
50 16 3 2 2 ras True False 17.62632 309.794 47.13 129.55 129.55 68.493 1
50 16 3 3 0 ras True True 1.44972 27.815 0.0 81.05 81.05 81.05 1
50 16 3 3 1 ras True True 2.54583 300.806 0.0 112.22 112.22 112.22 1
50 16 3 3 2 ras True False 16.97435 356.593 88.64 567.57 567.57 64.459 1
50 16 4 1 0 ras True True 0.04151 18.328 0.0 82.98 82.98 82.98 1
50 16 4 1 1 ras True True 0.04506 55.605 0.79 119.71 119.71 118.764 1
50 16 4 1 2 ras True True 0.03581 41.129 0.82 119.71 119.71 118.723 1
50 16 4 2 0 ras True True 1.6408 85.228 1.1 82.98 82.98 82.068 1
50 16 4 2 1 irréalisable False False 8.71756 -1 -1 -1 -1 -1 0
50 16 4 2 2 ras True False 18.36768 309.874 87.14 588.8 588.8 75.697 1
50 16 4 3 0 ras True True 1.35712 19.291 0.0 82.98 82.98 82.98 1
50 16 4 3 1 ras True False 2.41087 306.184 6.11 119.71 119.71 112.4 1
50 16 4 3 2 ras True False 16.69679 350.876 88.55 619.22 619.22 70.887 1
50 16 5 1 0 ras True True 0.04153 19.088 0.0 73.44 73.44 73.44 1
50 16 5 1 1 ras True True 0.0448 60.817 0.76 104.17 104.17 103.38 1
50 16 5 1 2 ras True True 0.03617 46.874 0.91 104.17 104.17 103.221 1
50 16 5 2 0 ras True True 1.62436 38.351 1.34 73.44 73.44 72.455 1
50 16 5 2 1 irréalisable False False 9.21155 -1 -1 -1 -1 -1 0
50 16 5 2 2 ras True False 17.52028 309.778 68.58 224.86 224.86 70.651 1
50 16 5 3 0 ras True True 1.87508 23.561 0.0 73.44 73.44 73.44 1
50 16 5 3 1 ras True False 2.46474 306.63 22.27 112.45 112.45 87.413 1
50 16 5 3 2 ras True False 17.40492 310.106 89.14 581.68 581.68 63.17 1
