n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower
50 5 1 1 0 ras True True 0.04245 0.303 0.0 4.114 4.114 4.114
50 5 1 1 1 ras True True 0.04759 0.88 0.0 5.005 5.005 5.005
50 5 1 1 2 ras True True 0.03769 0.103 0.0 0.0 0.0 0.0
50 5 1 2 0 ras True True 1.63663 10.136 0.0 138.787 138.787 138.787
50 5 1 2 1 irréalisable False False 10.08576 -1 -1 -1 -1 -1
50 5 1 2 2 ras True False 18.24981 310.381 75.3 561.79 561.79 138.787
50 5 1 3 0 ras True True 1.56775 4.527 0.0 16.721 16.721 16.721
50 5 1 3 1 ras True False 2.42849 306.149 92.84 390.51 390.51 27.958
50 5 1 3 2 irréalisable False False 16.67274 -1 -1 -1 -1 -1
50 5 2 1 0 ras True True 0.04135 0.268 0.0 4.138 4.138 4.138
50 5 2 1 1 ras True True 0.04495 0.768 0.0 4.719 4.719 4.719
50 5 2 1 2 ras True True 0.03517 0.097 0.0 0.0 0.0 0.0
50 5 2 2 0 ras True True 1.55751 7.963 0.0 132.969 132.969 132.969
50 5 2 2 1 irréalisable False False 8.87593 -1 -1 -1 -1 -1
50 5 2 2 2 ras True False 17.15351 310.105 76.44 564.43 564.43 132.969
50 5 2 3 0 ras True True 1.87686 6.333 0.0 24.358 24.358 24.358
50 5 2 3 1 irréalisable False False 2.34082 -1 -1 -1 -1 -1
50 5 2 3 2 ras True False 16.89409 310.027 94.9 477.18 477.18 24.358
50 5 3 1 0 ras True True 0.04155 0.329 0.0 3.94 3.94 3.94
50 5 3 1 1 ras True True 0.04466 0.869 0.0 4.509 4.509 4.509
50 5 3 1 2 ras True True 0.03561 0.097 0.0 0.0 0.0 0.0
50 5 3 2 0 ras True True 1.5901 8.693 0.0 134.588 134.588 134.588
50 5 3 2 1 irréalisable False False 8.92889 -1 -1 -1 -1 -1
50 5 3 2 2 ras True False 18.83611 309.835 77.71 603.87 603.87 134.588
50 5 3 3 0 ras True True 1.48128 4.827 0.0 20.292 20.292 20.292
50 5 3 3 1 irréalisable False False 2.58396 -1 -1 -1 -1 -1
50 5 3 3 2 irréalisable False False 17.95636 -1 -1 -1 -1 -1
50 5 4 1 0 ras True True 0.04401 0.327 0.0 4.051 4.051 4.051
50 5 4 1 1 ras True True 0.04761 0.893 0.0 4.9 4.9 4.9
50 5 4 1 2 ras True True 0.0371 0.103 0.0 0.0 0.0 0.0
50 5 4 2 0 ras True True 1.60132 11.406 0.0 137.587 137.586 137.586
50 5 4 2 1 irréalisable False False 10.81508 -1 -1 -1 -1 -1
50 5 4 2 2 ras True False 17.47304 310.293 78.74 647.03 647.03 137.587
50 5 4 3 0 ras True True 1.87447 5.854 0.0 20.148 20.148 20.148
50 5 4 3 1 irréalisable False False 2.51693 -1 -1 -1 -1 -1
50 5 4 3 2 irréalisable False False 16.72341 -1 -1 -1 -1 -1
50 5 5 1 0 ras True True 0.04272 0.34 0.0 4.072 4.072 4.072
50 5 5 1 1 ras True True 0.04644 0.796 0.0 4.921 4.921 4.921
50 5 5 1 2 ras True True 0.03734 0.098 0.0 0.0 0.0 0.0
50 5 5 2 0 ras True True 1.60561 8.839 0.0 130.733 130.733 130.733
50 5 5 2 1 ras True False 9.71898 339.649 100.0 502.28 502.28 0.0
50 5 5 2 2 ras True False 19.14947 309.959 78.96 621.42 621.42 130.733
50 5 5 3 0 ras True True 1.90704 6.386 0.0 21.671 21.671 21.671
50 5 5 3 1 irréalisable False False 2.37986 -1 -1 -1 -1 -1
50 5 5 3 2 ras True False 16.82696 310.51 95.73 507.87 507.87 21.671
50 12 1 1 0 ras True True 0.04014 0.265 0.0 3.223 3.223 3.223
50 12 1 1 1 ras True True 0.04261 0.483 0.0 3.571 3.571 3.571
50 12 1 1 2 ras True True 0.03392 0.101 0.0 0.0 0.0 0.0
50 12 1 2 0 ras True True 1.51701 6.094 0.0 76.335 76.335 76.335
50 12 1 2 1 irréalisable False False 8.73381 -1 -1 -1 -1 -1
50 12 1 2 2 ras True False 17.57941 318.255 86.1 549.13 549.13 76.335
50 12 1 3 0 ras True True 1.87187 5.474 0.0 8.314 8.314 8.314
50 12 1 3 1 ras True False 2.376 306.098 93.6 279.06 279.06 17.866
50 12 1 3 2 ras True False 17.49192 309.995 98.01 416.96 416.96 8.314
50 12 2 1 0 ras True True 0.043 0.29 0.0 2.938 2.938 2.938
50 12 2 1 1 ras True True 0.04445 0.567 0.0 3.387 3.387 3.387
50 12 2 1 2 ras True True 0.03597 0.097 0.0 0.0 0.0 0.0
50 12 2 2 0 ras True True 1.60098 6.321 0.0 70.237 70.237 70.237
50 12 2 2 1 irréalisable False False 8.80439 -1 -1 -1 -1 -1
50 12 2 2 2 ras True False 18.2689 309.966 85.15 473.06 473.06 70.237
