n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower
20 2 1 1 0 ras True True 0.00561 0.039 0.0 9.878 9.878 9.878
20 2 1 1 1 ras True True 0.00679 0.054 0.0 10.626 10.626 10.626
20 2 1 1 2 ras True True 0.00522 0.027 0.0 0.0 0.0 0.0
20 2 1 2 0 ras True True 0.05735 0.204 0.0 174.195 174.195 174.195
20 2 1 2 1 ras True True 0.21315 10.874 0.0 206.23 206.23 206.23
20 2 1 2 2 ras True True 0.435 20.449 0.0 206.23 206.23 206.23
20 2 1 3 0 ras True True 0.05606 0.184 0.0 22.637 22.637 22.637
20 2 1 3 1 ras True True 0.08455 24.23 0.16 206.23 206.23 205.906
20 2 1 3 2 ras True True 0.43977 26.203 0.0 206.23 206.23 206.23
20 2 2 1 0 ras True True 0.00594 0.04 0.0 9.732 9.732 9.732
20 2 2 1 1 ras True True 0.00673 0.054 0.0 11.504 11.504 11.504
20 2 2 1 2 ras True True 0.00576 0.028 0.0 0.0 0.0 0.0
20 2 2 2 0 ras True True 0.05871 0.214 0.0 176.495 176.495 176.495
20 2 2 2 1 ras True True 0.22163 44.365 0.3 215.6 215.6 214.95
20 2 2 2 2 ras True True 0.46915 38.978 0.0 214.95 214.95 214.95
20 2 2 3 0 ras True True 0.05711 0.186 0.0 39.605 39.605 39.605
20 2 2 3 1 ras True True 0.08883 25.791 0.0 214.95 214.95 214.95
20 2 2 3 2 ras True True 0.43965 27.019 0.3 215.6 215.6 214.95
20 2 3 1 0 ras True True 0.00598 0.04 0.0 10.766 10.766 10.766
20 2 3 1 1 ras True True 0.00693 0.056 0.0 11.007 11.007 11.007
20 2 3 1 2 ras True True 0.00548 0.028 0.0 0.0 0.0 0.0
20 2 3 2 0 ras True True 0.06107 0.238 0.0 186.614 186.614 186.614
20 2 3 2 1 ras True True 0.2272 41.284 0.34 230.78 230.78 229.985
20 2 3 2 2 ras True True 0.49858 27.189 0.0 230.78 230.78 230.78
20 2 3 3 0 ras True True 0.05874 0.198 0.0 36.044 36.044 36.044
20 2 3 3 1 ras True True 0.09204 31.093 0.0 230.78 230.78 230.78
20 2 3 3 2 ras True True 0.45433 23.855 0.34 230.78 230.78 229.985
20 2 4 1 0 ras True True 0.00619 0.041 0.0 10.343 10.343 10.343
20 2 4 1 1 ras True True 0.00676 0.054 0.0 11.141 11.141 11.141
20 2 4 1 2 ras True True 0.0058 0.029 0.0 0.0 0.0 0.0
20 2 4 2 0 ras True True 0.06276 0.221 0.0 185.629 185.629 185.629
20 2 4 2 1 ras True True 0.22966 28.32 0.0 221.72 221.72 221.72
20 2 4 2 2 ras True True 0.47055 31.587 0.44 222.69 222.69 221.72
20 2 4 3 0 ras True True 0.05935 0.202 0.0 42.3 42.3 42.3
20 2 4 3 1 ras True True 0.08852 24.397 0.0 221.72 221.72 221.72
20 2 4 3 2 ras True True 0.45656 29.365 0.0 221.72 221.72 221.72
20 2 5 1 0 ras True True 0.00617 0.04 0.0 10.188 10.188 10.188
20 2 5 1 1 ras True True 0.00714 0.058 0.0 10.69 10.69 10.69
20 2 5 1 2 ras True True 0.00545 0.028 0.0 0.0 0.0 0.0
20 2 5 2 0 ras True True 0.06358 0.239 0.0 181.609 181.609 181.609
20 2 5 2 1 ras True True 0.23483 25.298 0.22 201.88 201.88 201.432
20 2 5 2 2 ras True True 0.47203 38.382 0.16 201.88 201.88 201.558
20 2 5 3 0 ras True True 0.05882 0.19 0.0 43.008 43.008 43.008
20 2 5 3 1 ras True True 0.08996 23.606 0.0 201.88 201.88 201.88
20 2 5 3 2 ras True True 0.44733 28.628 0.0 201.88 201.88 201.88
20 5 1 1 0 ras True True 0.00599 0.039 0.0 7.214 7.214 7.214
20 5 1 1 1 ras True True 0.00715 0.05 0.0 8.85 8.85 8.85
20 5 1 1 2 ras True True 0.00563 0.029 0.0 0.0 0.0 0.0
20 5 1 2 0 ras True True 0.06297 0.207 0.0 106.277 106.277 106.277
20 5 1 2 1 ras True True 0.24276 88.806 0.2 171.75 171.75 171.41
20 5 1 2 2 ras True True 0.4868 48.798 0.52 171.41 171.41 170.525
20 5 1 3 0 ras True True 0.05927 0.202 0.0 20.56 20.56 20.56
20 5 1 3 1 ras True True 0.09209 27.824 0.0 171.41 171.41 171.41
20 5 1 3 2 ras True True 0.45432 51.858 0.0 171.41 171.41 171.41
20 5 2 1 0 ras True True 0.00621 0.042 0.0 6.4 6.4 6.4
20 5 2 1 1 ras True True 0.00691 0.048 0.0 7.477 7.477 7.477
20 5 2 1 2 ras True True 0.00558 0.029 0.0 0.0 0.0 0.0
20 5 2 2 0 ras True True 0.06228 0.221 0.0 84.753 84.753 84.753
20 5 2 2 1 ras True True 0.23507 218.504 0.6 153.17 153.17 152.245
20 5 2 2 2 ras True True 0.4758 45.03 0.0 153.17 153.17 153.17
20 5 2 3 0 ras True True 0.06003 0.193 0.0 11.977 11.977 11.977
20 5 2 3 1 ras True True 0.09142 75.813 0.61 153.17 153.17 152.231
20 5 2 3 2 ras True True 0.4543 43.214 0.25 153.17 153.17 152.78
20 5 3 1 0 ras True True 0.00611 0.04 0.0 6.8 6.8 6.8
20 5 3 1 1 ras True True 0.00706 0.049 0.0 7.88 7.88 7.88
20 5 3 1 2 ras True True 0.00681 0.028 0.0 0.0 0.0 0.0
20 5 3 2 0 ras True True 0.06338 0.211 0.0 104.191 104.191 104.191
20 5 3 2 1 ras True True 0.23678 89.939 0.0 215.64 215.64 215.64
20 5 3 2 2 ras True True 0.47286 35.777 0.0 215.64 215.64 215.64
20 5 3 3 0 ras True True 0.05947 0.194 0.0 9.258 9.258 9.258
20 5 3 3 1 ras True True 0.09076 55.625 0.45 215.64 215.64 214.667
20 5 3 3 2 ras True True 0.44358 20.93 0.06 215.78 215.78 215.64
20 5 4 1 0 ras True True 0.00601 0.041 0.0 6.887 6.887 6.887
20 5 4 1 1 ras True True 0.00705 0.048 0.0 8.834 8.834 8.834
20 5 4 1 2 ras True True 0.00564 0.029 0.0 0.0 0.0 0.0
20 5 4 2 0 ras True True 0.06394 0.217 0.0 105.997 105.997 105.997
20 5 4 2 1 ras True True 0.24567 133.912 0.55 178.76 178.76 177.774
20 5 4 2 2 ras True True 0.46472 50.584 0.0 178.76 178.76 178.76
20 5 4 3 0 ras True True 0.05903 0.196 0.0 9.915 9.915 9.915
20 5 4 3 1 ras True True 0.08906 30.456 0.49 178.76 178.76 177.891
20 5 4 3 2 ras True True 0.4639 41.535 0.5 178.76 178.76 177.86
20 5 5 1 0 ras True True 0.00584 0.038 0.0 6.912 6.912 6.912
20 5 5 1 1 ras True True 0.00715 0.044 0.0 7.805 7.805 7.805
20 5 5 1 2 ras True True 0.00548 0.028 0.0 0.0 0.0 0.0
20 5 5 2 0 ras True True 0.06145 0.219 0.0 97.345 97.345 97.345
20 5 5 2 1 ras True True 0.22784 86.712 0.68 135.79 135.79 134.862
20 5 5 2 2 ras True True 0.46082 35.963 0.05 135.79 135.79 135.721
20 5 5 3 0 ras True True 0.05806 0.196 0.0 16.582 16.582 16.582
20 5 5 3 1 ras True True 0.08884 25.882 0.45 135.79 135.79 135.175
20 5 5 3 2 ras True True 0.45598 38.891 0.43 135.79 135.79 135.209
20 6 1 1 0 ras True True 0.0061 0.04 0.0 5.938 5.938 5.938
20 6 1 1 1 ras True True 0.00692 0.047 0.0 6.788 6.788 6.788
20 6 1 1 2 ras True True 0.00555 0.029 0.0 0.0 0.0 0.0
20 6 1 2 0 ras True True 0.06181 0.205 0.0 73.612 73.612 73.612
20 6 1 2 1 ras True True 0.23316 117.332 0.64 143.89 143.89 142.965
20 6 1 2 2 ras True True 0.47874 33.297 0.0 143.89 143.89 143.89
20 6 1 3 0 ras True True 0.07597 0.242 0.0 8.889 8.889 8.889
20 6 1 3 1 ras True True 0.11368 31.986 0.68 143.89 143.89 142.916
20 6 1 3 2 ras True True 0.46807 19.397 0.0 143.89 143.89 143.89
20 6 2 1 0 ras True True 0.00601 0.039 0.0 6.634 6.634 6.634
20 6 2 1 1 ras True True 0.00691 0.049 0.0 8.013 8.013 8.013
20 6 2 1 2 ras True True 0.00545 0.029 0.0 0.0 0.0 0.0
20 6 2 2 0 ras True True 0.06255 0.207 0.0 88.167 88.167 88.167
20 6 2 2 1 ras True True 0.23323 246.161 0.56 174.04 174.04 173.065
20 6 2 2 2 ras True True 0.48331 62.66 0.54 174.04 174.04 173.095
20 6 2 3 0 ras True True 0.05667 0.182 0.0 11.228 11.228 11.228
20 6 2 3 1 ras True True 0.08686 64.978 0.56 174.04 174.04 173.07
20 6 2 3 2 ras True True 0.45756 35.509 0.0 174.04 174.04 174.04
20 6 3 1 0 ras True True 0.00582 0.037 0.0 6.19 6.19 6.19
20 6 3 1 1 ras True True 0.00669 0.046 0.0 7.163 7.163 7.163
20 6 3 1 2 ras True True 0.00534 0.027 0.0 0.0 0.0 0.0
20 6 3 2 0 ras True True 0.06165 0.202 0.0 74.996 74.996 74.996
20 6 3 2 1 ras True False 0.23295 301.018 50.3 174.41 174.41 86.686
20 6 3 2 2 ras True True 0.60887 43.221 0.0 142.28 142.28 142.28
20 6 3 3 0 ras True True 0.05997 0.199 0.0 13.313 13.313 13.313
20 6 3 3 1 ras True True 0.09109 54.185 0.68 142.28 142.28 141.319
20 6 3 3 2 ras True True 0.45544 45.252 0.0 142.28 142.28 142.28
20 6 4 1 0 ras True True 0.00602 0.039 0.0 6.371 6.371 6.371
20 6 4 1 1 ras True True 0.00688 0.044 0.0 8.087 8.087 8.087
20 6 4 1 2 ras True True 0.00593 0.028 0.0 0.0 0.0 0.0
20 6 4 2 0 ras True True 0.06334 0.21 0.0 82.854 82.854 82.854
20 6 4 2 1 ras True True 0.23757 90.952 0.56 154.55 154.55 153.683
20 6 4 2 2 ras True True 0.48655 51.13 0.0 154.55 154.55 154.55
20 6 4 3 0 ras True True 0.06117 0.201 0.0 17.583 17.583 17.583
20 6 4 3 1 ras True True 0.09229 29.094 0.0 154.55 154.55 154.55
20 6 4 3 2 ras True True 0.48228 41.585 0.0 154.55 154.55 154.55
20 6 5 1 0 ras True True 0.00609 0.039 0.0 6.791 6.791 6.791
20 6 5 1 1 ras True True 0.00707 0.044 0.0 7.738 7.738 7.738
20 6 5 1 2 ras True True 0.00547 0.029 0.0 0.0 0.0 0.0
20 6 5 2 0 ras True True 0.06253 0.207 0.0 90.805 90.805 90.805
20 6 5 2 1 ras True True 0.2313 132.619 0.0 150.47 150.47 150.47
20 6 5 2 2 ras True True 0.46538 33.087 0.0 150.47 150.47 150.47
20 6 5 3 0 ras True True 0.05843 0.191 0.0 19.469 19.469 19.469
20 6 5 3 1 ras True True 0.09134 37.915 0.46 150.47 150.47 149.785
20 6 5 3 2 ras True True 0.45382 46.202 0.0 150.47 150.47 150.47
