n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower
5 1 1 1 0 ras True True 0.00202 0.008 0.0 32.352 32.352 32.352
5 1 1 1 1 ras True True 0.00197 0.004 0.0 32.352 32.352 32.352
5 1 1 1 2 ras True True 0.00133 0.004 0.0 0.0 0.0 0.0
5 1 1 2 0 ras True True 0.00124 0.005 0.0 124.053 124.053 124.053
5 1 1 2 1 ras True True 0.0021 0.018 0.69 124.91 124.91 124.053
5 1 1 2 2 ras True True 0.00357 0.009 0.69 124.91 124.91 124.053
5 1 1 3 0 ras True True 0.0012 0.005 0.0 59.524 59.524 59.524
5 1 1 3 1 ras True True 0.00277 0.009 0.0 124.91 124.91 124.91
5 1 1 3 2 ras True True 0.0031 0.011 0.0 124.91 124.91 124.91
5 1 2 1 0 ras True True 0.00156 0.004 0.0 34.034 34.034 34.034
5 1 2 1 1 ras True True 0.00161 0.004 0.0 34.034 34.034 34.034
5 1 2 1 2 ras True True 0.00131 0.004 0.0 0.0 0.0 0.0
5 1 2 2 0 ras True True 0.00122 0.005 0.0 123.564 123.564 123.564
5 1 2 2 1 ras True True 0.00211 0.009 0.0 147.3 147.3 147.3
5 1 2 2 2 ras True True 0.00333 0.009 0.0 147.3 147.3 147.3
5 1 2 3 0 ras True True 0.00125 0.005 0.0 35.446 35.446 35.446
5 1 2 3 1 ras True True 0.00195 0.009 0.0 147.3 147.3 147.3
5 1 2 3 2 ras True True 0.00371 0.009 0.0 147.3 147.3 147.3
5 1 3 1 0 ras True True 0.00152 0.004 0.0 35.222 35.222 35.222
5 1 3 1 1 ras True True 0.00145 0.005 0.0 35.222 35.222 35.222
5 1 3 1 2 ras True True 0.00134 0.004 0.0 0.0 0.0 0.0
5 1 3 2 0 ras True True 0.00125 0.005 0.0 119.067 119.067 119.067
5 1 3 2 1 ras True True 0.0021 0.009 0.0 137.19 137.19 137.19
5 1 3 2 2 ras True True 0.00332 0.009 0.0 137.19 137.19 137.19
5 1 3 3 0 ras True True 0.00122 0.005 0.0 56.01 56.01 56.01
5 1 3 3 1 ras True True 0.00203 0.009 0.0 137.19 137.19 137.19
5 1 3 3 2 ras True True 0.00326 0.011 0.0 137.19 137.19 137.19
5 1 4 1 0 ras True True 0.00148 0.004 0.0 31.0 31.0 31.0
5 1 4 1 1 ras True True 0.00156 0.005 0.0 31.0 31.0 31.0
5 1 4 1 2 ras True True 0.00134 0.004 0.0 0.0 0.0 0.0
5 1 4 2 0 ras True True 0.00127 0.005 0.0 106.322 106.322 106.322
5 1 4 2 1 ras True True 0.00207 0.01 0.0 122.2 122.2 122.2
5 1 4 2 2 ras True True 0.00323 0.009 0.0 122.2 122.2 122.2
5 1 4 3 0 ras True True 0.00126 0.005 0.0 45.783 45.783 45.783
5 1 4 3 1 ras True True 0.00248 0.009 0.0 122.2 122.2 122.2
5 1 4 3 2 ras True True 0.00304 0.01 0.0 122.2 122.2 122.2
5 1 5 1 0 ras True True 0.00156 0.004 0.0 28.643 28.643 28.643
5 1 5 1 1 ras True True 0.00143 0.005 0.0 28.643 28.643 28.643
5 1 5 1 2 ras True True 0.00135 0.004 0.0 0.0 0.0 0.0
5 1 5 2 0 ras True True 0.00125 0.005 0.0 98.166 98.166 98.166
5 1 5 2 1 ras True True 0.00262 0.01 0.0 112.29 112.29 112.29
5 1 5 2 2 ras True True 0.00341 0.008 0.0 112.29 112.29 112.29
5 1 5 3 0 ras True True 0.00122 0.005 0.0 42.382 42.382 42.382
5 1 5 3 1 ras True True 0.00199 0.01 0.0 112.29 112.29 112.29
5 1 5 3 2 ras True True 0.0032 0.011 0.0 112.29 112.29 112.29
5 2 1 1 0 ras True True 0.00158 0.004 0.0 11.012 11.012 11.012
5 2 1 1 1 ras True True 0.00142 0.005 0.0 11.121 11.121 11.121
5 2 1 1 2 ras True True 0.00134 0.004 0.0 0.0 0.0 0.0
5 2 1 2 0 ras True True 0.00193 0.005 0.0 47.45 47.45 47.45
5 2 1 2 1 ras True True 0.00209 0.025 0.0 66.71 66.71 66.71
5 2 1 2 2 ras True True 0.0032 0.021 0.0 66.71 66.71 66.71
5 2 1 3 0 ras True True 0.00125 0.005 0.0 21.346 21.346 21.346
5 2 1 3 1 ras True True 0.00199 0.044 0.0 66.71 66.71 66.71
5 2 1 3 2 ras True True 0.00304 0.068 0.0 66.71 66.71 66.71
5 2 2 1 0 ras True True 0.00167 0.004 0.0 9.802 9.802 9.802
5 2 2 1 1 ras True True 0.00142 0.004 0.0 11.82 11.82 11.82
5 2 2 1 2 ras True True 0.00132 0.004 0.0 0.0 0.0 0.0
5 2 2 2 0 ras True True 0.00125 0.005 0.0 29.93 29.93 29.93
5 2 2 2 1 ras True True 0.0021 0.009 0.0 51.66 51.66 51.66
5 2 2 2 2 ras True True 0.00362 0.017 0.86 51.66 51.66 51.215
5 2 2 3 0 ras True True 0.00166 0.005 0.0 14.404 14.404 14.404
5 2 2 3 1 ras True True 0.002 0.028 0.0 51.66 51.66 51.66
5 2 2 3 2 ras True True 0.00304 0.032 0.0 51.66 51.66 51.66
5 2 3 1 0 ras True True 0.00145 0.004 0.0 13.88 13.88 13.88
5 2 3 1 1 ras True True 0.0014 0.005 0.0 14.316 14.316 14.316
5 2 3 1 2 ras True True 0.0013 0.004 0.0 0.0 0.0 0.0
5 2 3 2 0 ras True True 0.00123 0.004 0.0 57.693 57.693 57.693
5 2 3 2 1 ras True True 0.00206 0.015 0.0 93.06 93.06 93.06
5 2 3 2 2 ras True True 0.00337 0.075 0.0 93.06 93.06 93.06
5 2 3 3 0 ras True True 0.0015 0.005 0.0 32.598 32.598 32.598
5 2 3 3 1 ras True True 0.002 0.033 0.0 93.06 93.06 93.06
5 2 3 3 2 ras True True 0.00416 0.045 0.0 93.06 93.06 93.06
5 2 4 1 0 ras True True 0.00152 0.004 0.0 16.229 16.229 16.229
5 2 4 1 1 ras True True 0.00144 0.004 0.0 22.432 22.432 22.432
5 2 4 1 2 ras True True 0.00131 0.004 0.0 0.0 0.0 0.0
5 2 4 2 0 ras True True 0.0013 0.005 0.0 69.487 69.487 69.487
5 2 4 2 1 ras True True 0.00214 0.03 0.0 142.43 142.43 142.43
5 2 4 2 2 ras True True 0.00338 0.04 0.0 142.43 142.43 142.43
5 2 4 3 0 ras True True 0.00122 0.005 0.0 28.826 28.826 28.826
5 2 4 3 1 ras True True 0.00205 0.034 0.0 142.43 142.43 142.43
5 2 4 3 2 ras True True 0.00446 0.046 0.0 142.43 142.43 142.43
5 2 5 1 0 ras True True 0.00154 0.004 0.0 13.642 13.642 13.642
5 2 5 1 1 ras True True 0.00145 0.005 0.0 13.854 13.854 13.854
5 2 5 1 2 ras True True 0.00133 0.004 0.0 0.0 0.0 0.0
5 2 5 2 0 ras True True 0.00126 0.005 0.0 47.454 47.454 47.454
5 2 5 2 1 ras True True 0.00209 0.052 0.0 138.84 138.84 138.84
5 2 5 2 2 ras True True 0.00329 0.065 0.0 138.84 138.84 138.84
5 2 5 3 0 ras True True 0.00126 0.005 0.0 32.736 32.736 32.736
5 2 5 3 1 ras True True 0.00202 0.099 0.0 138.84 138.84 138.84
5 2 5 3 2 ras True True 0.00348 0.031 0.0 138.84 138.84 138.84
5 3 1 1 0 ras True True 0.00155 0.004 0.0 13.458 13.458 13.458
5 3 1 1 1 ras True True 0.00142 0.005 0.0 17.785 17.785 17.785
5 3 1 1 2 ras True True 0.00131 0.004 0.0 0.0 0.0 0.0
5 3 1 2 0 ras True True 0.00124 0.005 0.0 52.8 52.8 52.8
5 3 1 2 1 ras True True 0.00262 0.026 0.0 132.0 132.0 132.0
5 3 1 2 2 ras True True 0.00377 0.032 0.0 132.0 132.0 132.0
5 3 1 3 0 ras True True 0.00126 0.005 0.0 28.332 28.332 28.332
5 3 1 3 1 ras True True 0.00206 0.058 0.26 132.0 132.0 131.661
5 3 1 3 2 ras True True 0.00312 0.089 0.0 132.0 132.0 132.0
5 3 2 1 0 ras True True 0.00154 0.004 0.0 11.918 11.918 11.918
5 3 2 1 1 ras True True 0.00146 0.004 0.0 12.659 12.659 12.659
5 3 2 1 2 ras True True 0.00134 0.004 0.0 0.0 0.0 0.0
5 3 2 2 0 ras True True 0.00128 0.004 0.0 34.036 34.036 34.036
5 3 2 2 1 ras True True 0.00209 0.042 0.0 121.12 121.12 121.12
5 3 2 2 2 ras True True 0.00391 0.056 0.0 121.12 121.12 121.12
5 3 2 3 0 ras True True 0.00126 0.005 0.0 29.024 29.024 29.024
5 3 2 3 1 ras True True 0.002 0.079 0.0 121.12 121.12 121.12
5 3 2 3 2 ras True True 0.00314 0.048 0.0 121.12 121.12 121.12
5 3 3 1 0 ras True True 0.00153 0.004 0.0 7.489 7.489 7.489
5 3 3 1 1 ras True True 0.00146 0.004 0.0 8.646 8.646 8.646
5 3 3 1 2 ras True True 0.00133 0.004 0.0 0.0 0.0 0.0
5 3 3 2 0 ras True True 0.00128 0.005 0.0 17.24 17.24 17.24
5 3 3 2 1 irréalisable False False 0.0021 -1 -1 -1 -1 -1
5 3 3 2 2 irréalisable False False 0.00336 -1 -1 -1 -1 -1
