n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower
5 3 3 3 0 ras True True 0.00164 0.005 0.0 9.508 9.508 9.508
5 3 3 3 1 irréalisable False False 0.00206 -1 -1 -1 -1 -1
5 3 3 3 2 irréalisable False False 0.00312 -1 -1 -1 -1 -1
5 3 4 1 0 ras True True 0.00148 0.004 0.0 9.58 9.58 9.58
5 3 4 1 1 ras True True 0.00149 0.004 0.0 11.615 11.615 11.615
5 3 4 1 2 ras True True 0.00139 0.004 0.0 0.0 0.0 0.0
5 3 4 2 0 ras True True 0.00128 0.005 0.0 33.305 33.305 33.305
5 3 4 2 1 irréalisable False False 0.00215 -1 -1 -1 -1 -1
5 3 4 2 2 irréalisable False False 0.0043 -1 -1 -1 -1 -1
5 3 4 3 0 ras True True 0.00126 0.005 0.0 12.808 12.808 12.808
5 3 4 3 1 irréalisable False False 0.00202 -1 -1 -1 -1 -1
5 3 4 3 2 irréalisable False False 0.00307 -1 -1 -1 -1 -1
5 3 5 1 0 ras True True 0.00159 0.004 0.0 10.368 10.368 10.368
5 3 5 1 1 ras True True 0.00148 0.004 0.0 10.601 10.601 10.601
5 3 5 1 2 ras True True 0.00136 0.004 0.0 0.0 0.0 0.0
5 3 5 2 0 ras True True 0.00157 0.005 0.0 30.6 30.6 30.6
5 3 5 2 1 ras True True 0.00213 0.011 0.0 61.2 61.2 61.2
5 3 5 2 2 ras True True 0.00335 0.027 0.0 61.2 61.2 61.2
5 3 5 3 0 ras True True 0.00134 0.005 0.0 23.148 23.148 23.148
5 3 5 3 1 ras True True 0.00335 0.009 0.0 61.2 61.2 61.2
5 3 5 3 2 ras True True 0.00363 0.034 0.72 61.2 61.2 60.757
