n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower
10 1 1 1 0 ras True True 0.00238 0.009 0.0 25.933 25.933 25.933
10 1 1 1 1 ras True True 0.00251 0.01 0.0 25.933 25.933 25.933
10 1 1 1 2 ras True True 0.0021 0.007 0.0 0.0 0.0 0.0
10 1 1 2 0 ras True True 0.00561 0.021 0.0 190.726 190.726 190.726
10 1 1 2 1 ras True True 0.02181 0.116 0.0 199.28 199.28 199.28
10 1 1 2 2 ras True True 0.03484 0.079 0.0 199.28 199.28 199.28
10 1 1 3 0 ras True True 0.00507 0.02 0.0 60.634 60.634 60.634
10 1 1 3 1 ras True True 0.00778 0.075 0.0 199.28 199.28 199.28
10 1 1 3 2 ras True True 0.03382 0.15 0.0 199.28 199.28 199.28
10 1 2 1 0 ras True True 0.00246 0.009 0.0 24.656 24.656 24.656
10 1 2 1 1 ras True True 0.00254 0.01 0.0 24.656 24.656 24.656
10 1 2 1 2 ras True True 0.00219 0.006 0.0 0.0 0.0 0.0
10 1 2 2 0 ras True True 0.00536 0.021 0.0 179.545 179.545 179.545
10 1 2 2 1 ras True True 0.02251 0.098 0.0 197.57 197.57 197.57
10 1 2 2 2 ras True True 0.03502 0.102 0.0 197.57 197.57 197.57
10 1 2 3 0 ras True True 0.00464 0.02 0.0 39.534 39.534 39.534
10 1 2 3 1 ras True True 0.00812 0.077 0.0 197.57 197.57 197.57
10 1 2 3 2 ras True True 0.03443 0.187 0.0 197.57 197.57 197.57
10 1 3 1 0 ras True True 0.00239 0.009 0.0 24.813 24.813 24.813
10 1 3 1 1 ras True True 0.0029 0.01 0.0 24.813 24.813 24.813
10 1 3 1 2 ras True True 0.0021 0.006 0.0 0.0 0.0 0.0
10 1 3 2 0 ras True True 0.00496 0.021 0.0 179.4 179.4 179.4
10 1 3 2 1 ras True True 0.02215 0.089 0.0 179.4 179.4 179.4
10 1 3 2 2 ras True True 0.03512 0.078 0.0 179.4 179.4 179.4
10 1 3 3 0 ras True True 0.00514 0.021 0.0 55.916 55.916 55.916
10 1 3 3 1 ras True True 0.00759 0.062 0.0 179.4 179.4 179.4
10 1 3 3 2 ras True True 0.03443 0.132 0.0 179.4 179.4 179.4
10 1 4 1 0 ras True True 0.00242 0.009 0.0 24.638 24.638 24.638
10 1 4 1 1 ras True True 0.00271 0.01 0.0 24.638 24.638 24.638
10 1 4 1 2 ras True True 0.00213 0.006 0.0 0.0 0.0 0.0
10 1 4 2 0 ras True True 0.0055 0.022 0.0 175.74 175.74 175.74
10 1 4 2 1 ras True True 0.02242 0.097 0.0 177.37 177.37 177.37
10 1 4 2 2 ras True True 0.0364 0.072 0.0 177.37 177.37 177.37
10 1 4 3 0 ras True True 0.00472 0.02 0.0 67.673 67.673 67.673
10 1 4 3 1 ras True True 0.00789 0.064 0.0 177.37 177.37 177.37
10 1 4 3 2 ras True True 0.03501 0.183 0.0 177.37 177.37 177.37
10 1 5 1 0 ras True True 0.0024 0.009 0.0 22.874 22.874 22.874
10 1 5 1 1 ras True True 0.00268 0.01 0.0 22.874 22.874 22.874
10 1 5 1 2 ras True True 0.00291 0.007 0.0 0.0 0.0 0.0
10 1 5 2 0 ras True True 0.00539 0.021 0.0 166.61 166.61 166.61
10 1 5 2 1 ras True True 0.02227 0.106 0.0 186.9 186.9 186.9
10 1 5 2 2 ras True True 0.03564 0.081 0.0 186.9 186.9 186.9
10 1 5 3 0 ras True True 0.00477 0.02 0.0 29.942 29.942 29.942
10 1 5 3 1 ras True True 0.00782 0.092 0.0 186.9 186.9 186.9
10 1 5 3 2 ras True True 0.03407 0.12 0.0 186.9 186.9 186.9
10 2 1 1 0 ras True True 0.00247 0.009 0.0 11.694 11.694 11.694
10 2 1 1 1 ras True True 0.00252 0.01 0.0 12.158 12.158 12.158
10 2 1 1 2 ras True True 0.00237 0.006 0.0 0.0 0.0 0.0
10 2 1 2 0 ras True True 0.00504 0.021 0.0 99.297 99.297 99.297
10 2 1 2 1 ras True True 0.02261 0.259 0.0 110.42 110.42 110.42
10 2 1 2 2 ras True True 0.03557 0.288 0.0 110.42 110.42 110.42
10 2 1 3 0 ras True True 0.00464 0.02 0.0 25.582 25.582 25.582
10 2 1 3 1 ras True True 0.00776 0.582 0.13 110.42 110.42 110.274
10 2 1 3 2 ras True True 0.03397 0.822 0.11 110.42 110.42 110.295
10 2 2 1 0 ras True True 0.00235 0.009 0.0 14.447 14.447 14.447
10 2 2 1 1 ras True True 0.00265 0.01 0.0 15.837 15.837 15.837
10 2 2 1 2 ras True True 0.00219 0.007 0.0 0.0 0.0 0.0
10 2 2 2 0 ras True True 0.005 0.021 0.0 128.989 128.989 128.989
10 2 2 2 1 ras True True 0.02217 0.44 0.0 171.23 171.23 171.23
10 2 2 2 2 ras True True 0.03522 0.704 0.0 171.23 171.23 171.23
10 2 2 3 0 ras True True 0.00487 0.019 0.0 26.142 26.142 26.142
10 2 2 3 1 ras True True 0.00773 0.724 0.0 171.23 171.23 171.23
10 2 2 3 2 ras True True 0.03532 0.699 0.0 171.23 171.23 171.23
10 2 3 1 0 ras True True 0.00235 0.009 0.0 12.654 12.654 12.654
10 2 3 1 1 ras True True 0.00283 0.009 0.0 14.481 14.481 14.481
10 2 3 1 2 ras True True 0.00248 0.006 0.0 0.0 0.0 0.0
10 2 3 2 0 ras True True 0.00506 0.021 0.0 116.002 116.002 116.002
